,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
5384,1,0,1,0,0,0,0,1,1,0,1,29,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,1,46,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,0,-1,1,0,collegeanduniversityguide.com/colleges_universities/quebec/universities.htm,83,-1,-1,-1,0,0,0,0
5385,1,0,1,0,0,0,1,1,0,0,0,12,0,1,0,1,0,0.0,1,0,17,0,1,0,6,0,0,0,0,114,4,28.999999999999996,0.0,25.0,0,0.0,-1,0,1,-1,0,-1,1,0,deadline.com/2011/06/tom-cruise-in-talks-to-play-jack-reacher-in-chris-mcquarrie-directed-one-shot-for-paramount-and-skydance/,134,-1,-1,-1,0,0,0,0
5386,1,0,1,0,0,0,1,1,1,0,1,10,0,1,0,1,0,,0,0,0,0,2,0,6,0,1,0,0,25,2,1.0,1.0,1.0,1,1.0,-1,16,0,-1,0,-1,1,0,corkin.com/listings/viewlisting.cfm?listingid=273832,59,1,-1,-1,0,0,0,0
5387,1,0,1,0,0,0,1,1,0,0,0,13,0,1,0,1,0,0.0,1,0,0,0,2,0,6,0,0,0,11,90,3,94.53125,0.0,100.0,-1,0.0,-1,0,1,-1,0,-1,1,0,denofgeek.com/movies/687698/the_dark_knight_rises_no_heath_ledger_footage_nolan_confirms_tom_hardy.html,111,-1,-1,-1,0,0,0,0
5388,-1,0,1,0,0,0,0,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,concertstagedesign.com/,31,1,-1,-1,0,0,0,0
5389,1,0,1,0,0,0,0,1,0,0,1,17,0,1,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,99.06103286384976,0.0,70.0,-1,0.0,-1,0,0,-1,0,-1,1,0,dbschenkerusa.com/,25,1,-1,-1,0,0,0,0
5390,1,0,1,0,0,0,0,-1,1,0,1,14,0,1,0,1,0,0.0,1,0,7,0,2,0,4,0,0,1,0,18,2,100.0,0.0,1.0,1,0.0,-1,42,0,-1,0,-1,1,0,detroityes.com/mb/showthread.php?1728-I-work-worked-at-Detroit-City-Airport,83,-1,-1,-1,0,0,0,0
5391,-1,0,0,0,0,0,0,0,-1,0,1,26,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,1,15,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,conservacionpatagonica.org/visit_htgh.htm,49,1,-1,-1,0,0,0,0
5392,1,0,0,0,0,0,1,1,-1,0,1,8,0,1,0,1,0,0.0,1,0,0,0,2,0,7,0,0,0,0,22,2,100.0,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,1,csun.edu/~hcfll004/SV1939.html,38,1,-1,-1,0,0,0,0
5393,1,0,1,0,0,0,1,-1,1,0,0,15,0,1,0,1,0,0.0,1,0,8,0,1,0,8,0,0,0,2,71,2,100.0,0.0,0.0,1,0.0,-1,0,0,-1,0,-1,1,0,dailymotion.com/video/xhihde_hey-hey-hey-20110307-nyc-talk-live-yume-tamago_shortfilms,94,-1,-1,-1,0,0,0,0
